common_name,scientific_name,status,Perch_2.0
Terek Sandpiper,Xenus cinereus,Rare/Accidental,Y
Tomtit,Petroica macrocephala,Endemic (country/region),Y
Tree Martin,Petrochelidon nigricans,Rare/Accidental,Y
Tui,Prosthemadera novaeseelandiae,Endemic (country/region),Y
Upland Sandpiper,Bartramia longicauda,Rare/Accidental,Y
Variable Oystercatcher,Haematopus unicolor,Endemic (country/region),Y
Wandering Tattler,Tringa incana,Rare/Accidental,Y
Wedge-tailed Eagle,Aquila audax,Rare/Accidental,Y
Wedge-tailed Shearwater,Ardenna pacifica,Rare/Accidental,Y
Weka,Gallirallus australis,Endemic (country/region)ÿVulnerable,Y
Welcome Swallow,Hirundo neoxena,,Y
Western Sandpiper,Calidris mauri,Rare/Accidental,Y
Westland Petrel,Procellaria westlandica,Endangered,Y
Whiskered Tern,Chlidonias hybrida,Rare/Accidental,Y
White-bellied Storm-Petrel,Fregetta grallaria,Rare/Accidental,
White-browed Woodswallow,Artamus superciliosus,Rare/Accidental,Y
White-capped Albatross,Thalassarche cauta,,Y
White-chinned Petrel,Procellaria aequinoctialis,Vulnerable,Y
White-faced Heron,Egretta novaehollandiae,,Y
White-faced Storm-Petrel,Pelagodroma marina,,Y
White-fronted Tern,Sterna striata,Endemic (country/region)ÿNear-threatened,Y
Whitehead,Mohoua albicilla,Endemic (country/region),Y
White-headed Petrel,Pterodroma lessonii,Rare/Accidental,Y
White-necked Petrel,Pterodroma cervicalis,Rare/Accidental,Y
White-rumped Sandpiper,Calidris fuscicollis,Rare/AccidentalÿVulnerable,Y
White-tailed Tropicbird,Phaethon lepturus,Rare/Accidental,Y
White-throated Needletail,Hirundapus caudacutus,Rare/Accidental,Y
White-winged Tern,Chlidonias leucopterus,Rare/Accidental,Y
Wilson's Phalarope,Phalaropus tricolor,Rare/Accidental,Y
Wilson's Storm-Petrel,Oceanites oceanicus,Rare/Accidental,Y
Wrybill,Anarhynchus frontalis,Endemic (country/region)ÿVulnerable,Y
Yellow-billed Spoonbill,Platalea flavipes,Rare/Accidental,Y
Yellow-crowned Parakeet,Cyanoramphus auriceps,Endemic (country/region)ÿNear-threatened,Y
Yellow-eyed Penguin,Megadyptes antipodes,Rare/AccidentalÿEndangered,Y
Yellowhammer,Emberiza citrinella,Introduced species,Y
